Windsor and Maidenhead,P9,E06000040,00ME
East Renfrewshire,U7,S12000011,00QN
Telford and Wrekin,O2,E06000020,00GF
Doncaster,D5,E08000017,00CE
Calderdale,C2,E08000033,00CY
West Berkshire,P4,E06000037,00MB
Kingston upon Hull,G6,E06000010,00FA
Aberdeen City,T5,S12000033,00QA
Greenwich,E7,E09000011,00AL
East Lothian,U6,S12000010,00QM
Torbay,O4,E06000027,00HH
Aberdeenshire,T6,S12000034,00QB
Lewisham,H6,E09000023,00AZ
Stoke-on-Trent,N4,E06000021,00GL
Barking and Dagenham,A1,E09000002,00AB
Gwynedd,Y2,W06000002,00NC
Conwy,X8,W06000003,00NE
Bedfordshire,A5,E06000055,00KB
Bedfordshire,A5,E06000056,00KC
North East Lincolnshire,J2,E06000012,00FC
Redcar and Cleveland,K9,E06000003,00EE
Bath and North East Somerset,A4,E06000022,00HA
Warwickshire,P3,E07000218,44UB
Warwickshire,P3,E07000219,44UC
Warwickshire,P3,E07000220,44UD
Warwickshire,P3,E07000221,44UE
Warwickshire,P3,E07000222,44UF
Blackpool,A9,E06000009,00EY
North Somerset,J4,E06000024,00HC
Northamptonshire,J1,E07000150,34UB
Northamptonshire,J1,E07000151,34UC
Northamptonshire,J1,E07000152,34UD
Northamptonshire,J1,E07000153,34UE
Northamptonshire,J1,E07000154,34UF
Northamptonshire,J1,E07000155,34UG
Northamptonshire,J1,E07000156,34UH
Buckinghamshire,B9,E07000004,11UB
Buckinghamshire,B9,E07000005,11UC
Buckinghamshire,B9,E07000006,11UE
Buckinghamshire,B9,E07000007,11UF
Bradford,B4,E08000032,00CX
Sutton,N8,E09000029,00BF
Shetland Islands,W3,S12000027,00RD
Moray,V6,S12000020,00QX
Eilean Siar,W8,S12000013,00RJ
Herefordshire,F7,E06000019,00GA
West Lothian,W9,S12000040,00RH
Poole,K5,E06000029,00HP
Shropshire,L6,E06000051,00GG
Hillingdon,F9,E09000017,00AS
Portsmouth,K6,E06000044,00MR
Rutland,L4,E06000017,00FP
Stockport,N2,E08000007,00BS
Highland,V3,S12000017,00QT
Bolton,B1,E08000001,00BL
Derbyshire,D3,E07000032,17UB
Derbyshire,D3,E07000033,17UC
Derbyshire,D3,E07000034,17UD
Derbyshire,D3,E07000035,17UF
Derbyshire,D3,E07000036,17UG
Derbyshire,D3,E07000037,17UH
Derbyshire,D3,E07000038,17UJ
Derbyshire,D3,E07000039,17UK
Surrey,N7,E07000207,43UB
Surrey,N7,E07000208,43UC
Surrey,N7,E07000209,43UD
Surrey,N7,E07000210,43UE
Surrey,N7,E07000211,43UF
Surrey,N7,E07000212,43UG
Surrey,N7,E07000213,43UH
Surrey,N7,E07000214,43UJ
Surrey,N7,E07000215,43UK
Surrey,N7,E07000216,43UL
Surrey,N7,E07000217,43UM
Caerphilly,X4,W06000018,00PK
Monmouthshire,Y4,W06000021,00PP
Walsall,O8,E08000030,00CU
North Ayrshire,V7,S12000021,00QY
Orkney,V9,S12000023,00RA
